Date,Close,Adj Close,Volume,DGS10,VIXCLS
2021-03-31,152.23,132.78,"16,736,700",1.74,19.4
2021-04-01,153.71,134.07,"16,561,500",1.69,17.33
2021-04-05,153.62,134.78,"13,508,000",1.73,17.91
2021-04-06,152.54,133.83,"13,071,600",1.67,18.12
2021-04-07,154.93,135.93,"16,903,500",1.68,17.16
2021-04-08,155.12,136.09,"12,335,500",1.64,16.95
2021-04-09,156.28,137.11,"12,122,400",1.67,16.69
2021-04-12,155.95,136.82,"12,273,400",1.69,16.91
2021-04-13,154.09,135.19,"16,113,600",1.64,16.65
2021-04-14,151.21,132.66,"19,939,600",1.64,16.99
2021-04-15,152.17,133.51,"17,694,100",1.56,16.57
2021-04-16,153.3,134.5,"13,773,400",1.59,16.25
2021-04-19,152.65,133.93,"11,900,200",1.61,17.29
2021-04-20,149.27,130.96,"13,716,700",1.58,18.68
2021-04-21,150.54,132.08,"12,236,700",1.57,17.5
2021-04-22,147.37,129.3,"15,256,100",1.57,18.71
2021-04-23,150.19,131.77,"14,041,900",1.58,17.33
2021-04-26,150.56,132.09,"10,799,100",1.58,17.64
2021-04-27,151.25,132.7,"12,821,200",1.63,17.56
2021-04-28,152.23,133.56,"8,943,700",1.63,17.28
2021-04-29,155.19,136.16,"12,976,900",1.65,17.61
2021-04-30,153.81,134.95,"11,705,100",1.65,18.61
2021-05-03,153.36,134.55,"11,801,100",1.63,18.31
2021-05-04,155.48,136.41,"12,977,700",1.61,19.48
2021-05-05,157.52,138.2,"10,506,700",1.59,19.15
2021-05-06,160.69,140.98,"13,542,400",1.58,18.39
2021-05-07,161.24,141.46,"14,257,800",1.6,16.69
2021-05-10,161.22,141.45,"14,014,300",1.63,19.66
2021-05-11,158.54,139.1,"15,451,700",1.64,21.84
2021-05-12,157.45,138.14,"14,381,700",1.69,27.59
2021-05-13,161.5,141.69,"15,395,000",1.66,23.13
2021-05-14,164.01,143.89,"10,584,000",1.63,18.81
2021-05-17,164.67,144.47,"9,886,800",1.64,19.72
2021-05-18,162.35,142.44,"11,098,100",1.64,21.34
2021-05-19,161.11,141.35,"13,278,900",1.68,22.18
2021-05-20,160.83,141.1,"10,426,000",1.63,20.67
2021-05-21,162.66,142.71,"10,249,000",1.63,20.15
2021-05-24,163.54,143.48,"9,440,300",1.61,18.4
2021-05-25,161.85,142.0,"12,609,100",1.56,18.84
2021-05-26,161.83,141.98,"13,058,300",1.58,17.36
2021-05-27,164.35,144.19,"15,707,500",1.61,16.74
2021-05-28,164.24,144.1,"10,291,300",1.58,16.76
2021-06-01,166.05,145.68,"9,445,400",1.62,17.9
2021-06-02,166.06,145.69,"10,498,600",1.59,17.48
2021-06-03,166.17,145.79,"13,354,400",1.63,18.04
2021-06-04,166.44,146.03,"8,510,800",1.56,16.42
2021-06-07,165.66,145.34,"7,267,200",1.57,16.42
2021-06-08,165.0,144.76,"10,370,700",1.53,17.07
2021-06-09,162.94,142.96,"12,377,400",1.5,17.89
2021-06-10,160.4,140.73,"12,119,400",1.45,16.1
2021-06-11,160.29,140.63,"13,683,800",1.47,15.65
2021-06-14,157.57,138.24,"19,917,900",1.51,16.39
2021-06-15,155.18,136.15,"24,485,500",1.51,17.02
2021-06-16,156.27,137.1,"25,321,200",1.57,18.15
2021-06-17,151.76,133.15,"29,722,400",1.52,17.75
2021-06-18,147.92,129.78,"43,595,700",1.45,20.7
2021-06-21,150.43,131.98,"18,664,800",1.5,17.89
2021-06-22,150.21,131.79,"14,251,200",1.48,16.66
2021-06-23,151.12,132.59,"12,733,300",1.5,16.32
2021-06-24,152.51,133.8,"13,733,200",1.49,15.97
2021-06-25,154.05,135.16,"15,484,900",1.54,15.62
2021-06-28,154.33,135.4,"14,125,800",1.49,15.76
2021-06-29,154.14,135.23,"14,528,700",1.49,16.02
2021-06-30,155.54,136.46,"12,531,000",1.45,15.83
2021-07-01,157.08,137.81,"10,479,400",1.48,15.48
2021-07-02,156.03,137.68,"11,424,000",1.44,15.07
2021-07-06,153.41,135.37,"15,083,400",1.37,16.44
2021-07-07,153.59,135.53,"12,271,800",1.33,16.2
2021-07-08,150.94,133.19,"17,834,600",1.3,19.0
2021-07-09,155.77,137.45,"13,694,500",1.37,16.18
2021-07-12,158.0,139.42,"19,940,400",1.38,16.17
2021-07-13,155.65,137.35,"22,671,700",1.42,17.12
2021-07-14,155.12,136.88,"14,622,800",1.37,16.33
2021-07-15,155.46,137.18,"11,539,300",1.31,17.01
2021-07-16,151.91,134.05,"14,002,700",1.31,18.45
2021-07-19,146.97,129.69,"22,172,900",1.19,22.5
2021-07-20,149.71,132.11,"15,385,200",1.23,19.73
2021-07-21,152.86,134.88,"12,356,700",1.3,17.91
2021-07-22,150.93,133.18,"9,913,300",1.27,17.69
2021-07-23,150.64,132.93,"9,666,100",1.3,17.2
2021-07-26,151.65,133.82,"8,208,000",1.29,17.58
2021-07-27,151.45,133.64,"11,218,700",1.25,19.36
2021-07-28,151.7,133.86,"9,217,300",1.26,18.31
2021-07-29,153.0,135.01,"9,063,500",1.28,17.7
2021-07-30,151.78,133.93,"9,805,200",1.24,18.24
2021-08-02,151.17,133.39,"10,203,200",1.2,19.46
2021-08-03,152.89,134.91,"10,394,800",1.19,18.04
2021-08-04,151.24,133.46,"10,155,000",1.19,17.97
2021-08-05,153.15,135.14,"9,151,500",1.23,17.28
2021-08-06,157.5,138.98,"13,328,800",1.31,16.15
2021-08-09,157.33,138.83,"9,516,900",1.33,16.72
2021-08-10,159.26,140.53,"8,667,000",1.36,16.79
2021-08-11,161.16,142.21,"9,156,500",1.35,16.06
2021-08-12,161.79,142.76,"8,844,200",1.36,15.59
2021-08-13,159.98,141.17,"8,980,900",1.29,15.45
2021-08-16,158.93,140.24,"8,755,800",1.26,16.12
2021-08-17,157.01,138.55,"9,347,200",1.26,17.91
2021-08-18,155.58,137.28,"8,065,500",1.27,21.57
2021-08-19,154.28,136.14,"9,517,700",1.24,21.67
2021-08-20,154.72,136.53,"6,974,100",1.26,18.56
2021-08-23,156.7,138.27,"7,934,600",1.25,17.15
2021-08-24,157.67,139.13,"7,670,900",1.29,17.22
2021-08-25,160.92,142.0,"11,335,000",1.35,16.79
2021-08-26,161.75,142.73,"11,027,500",1.34,18.84
2021-08-27,163.05,143.88,"8,780,200",1.31,16.39
2021-08-30,160.44,141.57,"7,937,600",1.29,16.19
2021-08-31,159.95,141.14,"12,340,800",1.3,16.48
2021-09-01,159.72,140.94,"8,729,900",1.31,16.11
2021-09-02,160.46,141.59,"8,813,300",1.29,16.41
2021-09-03,159.49,140.74,"7,959,700",1.33,16.41
2021-09-07,159.21,140.49,"9,285,600",1.38,18.14
2021-09-08,158.5,139.86,"7,852,700",1.35,17.96
2021-09-09,159.19,140.47,"7,904,300",1.3,18.8
2021-09-10,157.36,138.86,"8,311,600",1.35,20.95
2021-09-13,159.86,141.06,"10,052,800",1.33,19.37
2021-09-14,157.07,138.6,"11,685,600",1.28,19.46
2021-09-15,158.16,139.56,"11,691,500",1.31,18.18
2021-09-16,158.09,139.5,"10,880,900",1.34,18.69
2021-09-17,157.68,139.14,"25,581,600",1.37,20.81
2021-09-20,152.96,134.97,"15,819,900",1.31,25.71
2021-09-21,152.98,134.99,"8,999,900",1.33,24.36
2021-09-22,155.91,137.58,"11,236,200",1.32,20.87
2021-09-23,161.18,142.23,"12,336,100",1.41,18.63
2021-09-24,163.04,143.87,"10,102,400",1.47,17.75
2021-09-27,166.98,147.34,"13,220,900",1.48,18.76
2021-09-28,166.08,146.55,"13,387,900",1.54,23.25
2021-09-29,165.95,146.44,"7,777,100",1.55,22.56
2021-09-30,163.69,144.44,"13,161,200",1.52,23.14
2021-10-01,167.13,147.48,"11,285,000",1.48,21.15
2021-10-04,166.95,147.32,"14,120,000",1.49,22.96
2021-10-05,168.66,149.72,"12,292,900",1.54,21.3
2021-10-06,169.02,150.04,"8,692,600",1.53,21.0
2021-10-07,170.09,150.99,"10,195,400",1.58,19.54
2021-10-08,170.22,151.11,"8,190,100",1.61,18.77
